fold,test_start,strategy,total_return,max_drawdown,sharpe,sortino,profit_factor,n_trades
20,2025-11-29 04:15:00+00:00,rsi_reversion,-0.01818652736543247,-0.029675187956266114,-2.7203491465232745,-3.866602591918044,0.6486578362940435,39
20,2025-11-29 04:15:00+00:00,vwap_reversion,0.005790581715147791,-0.01881844832721813,0.8847840094913867,1.299845263535791,1.156384460761627,35
21,2026-01-20 06:15:00+00:00,buy_and_hold,0.02112293170754409,-0.05677355686608687,1.3306551145278882,1.7543012824504542,inf,1
21,2026-01-20 06:15:00+00:00,random,-0.30098355785024355,-0.30098355785024355,-22.390093715442397,-29.16761577032995,0.384987106081179,984
21,2026-01-20 06:15:00+00:00,ema_cross,-0.06522242758269647,-0.08390645839657784,-4.283866772629321,-6.290584601957145,0.7321222754402501,315
21,2026-01-20 06:15:00+00:00,rsi_reversion,-0.04845103004051077,-0.06563598359566458,-3.1854601229606243,-4.32676161007996,0.5125352517712586,36
21,2026-01-20 06:15:00+00:00,vwap_reversion,-0.08246550325107538,-0.08384022957099624,-5.493548409613835,-7.357959883758667,0.47510100579146586,68
22,2026-03-13 08:15:00+00:00,buy_and_hold,-0.029257359098070812,-0.0473576492621155,-2.5972684627724285,-3.695346119352095,0.0,1
22,2026-03-13 08:15:00+00:00,random,-0.30227122696173636,-0.3027560690948531,-27.688850416237734,-36.636179495371955,0.31011735003118995,984
22,2026-03-13 08:15:00+00:00,ema_cross,-0.11872212399008297,-0.12875413015864934,-10.165524642324664,-13.717200190274912,0.4544396029403582,323
22,2026-03-13 08:15:00+00:00,rsi_reversion,0.0007206774619634704,-0.025155836428690903,0.10116558919290186,0.14542375490221315,1.014583361822602,44
22,2026-03-13 08:15:00+00:00,vwap_reversion,-0.026828775309056363,-0.04125989484863557,-2.1660925675915133,-3.1143572157788504,0.720120319957678,59
23,2026-05-04 10:15:00+00:00,buy_and_hold,-0.03442140784124359,-0.0422855576135136,-4.0652044652511306,-5.624747646545377,0.0,1
23,2026-05-04 10:15:00+00:00,random,-0.31551294569737165,-0.3155564996469039,-38.70314990477592,-47.4823837544613,0.20190308082365085,984
23,2026-05-04 10:15:00+00:00,ema_cross,-0.1280399564987994,-0.13201396391563713,-14.873656485686134,-19.89798363884056,0.38818305370364226,340
23,2026-05-04 10:15:00+00:00,rsi_reversion,-0.03069056787637292,-0.04089173574100058,-3.4682013834339385,-5.0103419618409815,0.5347328975820553,36
23,2026-05-04 10:15:00+00:00,vwap_reversion,-0.028344050505790253,-0.03229349113338287,-3.1881804659689728,-4.415235621887291,0.6222866556963567,48
24,2026-06-25 12:15:00+00:00,buy_and_hold,0.02313853708276037,-0.014171816640775936,2.8687049349460993,4.400469183219507,inf,1
24,2026-06-25 12:15:00+00:00,random,-0.2994512610714425,-0.2994512610714425,-40.35936799336411,-49.365489576644904,0.19949924175511252,984
24,2026-06-25 12:15:00+00:00,ema_cross,-0.11120649469157595,-0.11134512974685706,-14.223636999964903,-19.81897666640126,0.3877720047376285,335
24,2026-06-25 12:15:00+00:00,rsi_reversion,-0.02907311801248169,-0.03956288179375156,-3.7242958364082828,-4.883191168683975,0.4304108049489729,34
24,2026-06-25 12:15:00+00:00,vwap_reversion,-0.04325310891035383,-0.04626290805440392,-5.485494107493593,-7.055378951202186,0.33009126038196845,38
